,predicted approval,actual approval
0,0,0
1,1,1
2,1,1
3,0,0
4,1,1
5,0,0
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,0,0
13,0,0
14,0,0
15,0,0
16,1,1
17,0,0
18,1,1
19,1,1
20,1,1
21,1,1
22,0,0
23,1,1
24,0,0
25,0,0
26,1,1
27,0,0
28,0,0
29,1,1
30,0,0
31,0,0
32,1,1
33,0,1
34,0,0
35,1,1
36,0,0
37,1,1
38,0,0
39,0,0
40,0,0
41,1,1
42,1,1
43,0,0
44,0,0
45,1,1
46,0,0
47,1,1
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,1,1
55,1,1
56,0,0
57,1,1
58,0,0
59,1,1
60,0,0
61,1,1
62,0,0
63,0,0
64,0,0
65,1,1
66,0,0
67,1,1
68,1,1
69,0,0
70,0,0
71,0,0
72,1,1
73,1,1
74,0,0
75,0,0
76,0,0
77,1,1
78,1,1
79,0,0
80,1,1
81,0,0
82,1,1
83,0,1
84,0,0
85,1,1
86,1,1
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,1,1
93,1,1
94,0,1
95,1,1
96,1,1
97,1,1
98,1,1
99,0,0
100,0,0
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,0,0
107,1,1
108,0,0
109,1,1
110,1,1
111,0,0
112,0,0
113,1,1
114,1,1
115,0,0
116,0,0
117,1,1
118,0,0
119,1,1
120,0,0
121,1,1
122,1,1
123,0,0
124,0,0
125,0,0
126,1,1
127,0,0
128,1,1
129,0,0
130,0,0
131,1,1
132,1,1
133,0,0
134,1,1
135,1,1
136,1,1
137,1,1
138,0,0
139,0,0
140,0,0
141,0,0
142,1,1
143,1,1
144,1,1
145,0,0
146,0,0
147,1,1
148,0,0
149,1,1
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,1,1
165,0,0
166,1,1
167,1,1
168,0,0
169,1,1
170,0,0
171,1,1
172,1,1
173,1,1
174,1,1
175,0,0
176,1,1
177,1,1
178,0,0
179,0,0
180,1,1
181,0,0
182,1,1
183,1,1
184,1,1
185,1,1
186,0,0
187,1,1
188,0,0
189,1,1
190,1,1
191,0,0
192,0,0
193,0,0
194,0,0
195,1,1
196,0,0
197,1,1
198,1,1
199,1,1
200,1,1
201,0,0
202,1,1
203,0,0
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,0,1
210,0,0
211,0,0
212,1,1
213,1,1
214,1,1
215,0,0
216,1,1
217,0,0
218,0,0
219,0,0
220,0,0
221,1,1
222,1,1
223,1,1
224,0,0
225,0,0
226,0,0
227,1,1
228,0,0
229,0,0
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,0,0
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,0,0
244,1,1
245,1,1
246,1,1
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,1,1
253,0,0
254,0,0
255,0,0
256,0,0
257,1,1
258,1,1
259,0,0
260,1,1
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,1,1
268,0,0
269,1,1
270,0,0
271,1,1
272,0,0
273,1,1
274,1,1
275,0,0
276,0,0
277,1,1
278,0,0
279,0,0
280,0,0
281,0,0
282,1,1
283,0,0
284,1,1
285,0,0
286,0,0
287,0,0
288,1,1
289,1,1
290,0,0
291,1,1
292,0,0
293,1,1
294,1,1
295,1,1
296,0,0
297,1,1
298,0,0
299,1,1
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,1,1
306,1,1
307,1,1
308,1,1
309,0,0
310,0,0
311,1,1
312,1,1
313,1,1
314,1,1
315,0,0
316,1,1
317,0,0
318,0,1
319,0,0
320,0,0
321,1,1
322,1,1
323,0,0
324,1,1
325,1,1
326,1,1
327,0,0
328,1,1
329,0,0
330,0,0
331,0,0
332,1,1
333,1,1
334,1,1
335,0,0
336,0,0
337,1,1
338,0,0
339,0,0
340,0,0
341,1,1
342,0,0
343,1,1
344,0,0
345,1,1
346,1,1
347,1,1
348,1,1
349,0,0
350,1,1
351,1,1
352,0,0
353,0,0
354,1,1
355,1,1
356,0,0
357,1,1
358,0,0
359,1,1
360,0,0
361,0,0
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,0,0
369,0,0
370,0,0
371,1,1
372,1,1
373,0,0
374,0,0
375,0,0
376,1,1
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,1,1
384,0,0
385,0,0
386,0,0
387,1,1
388,0,0
389,0,0
390,0,1
391,0,0
392,0,0
393,1,1
394,0,0
395,0,0
396,1,1
397,1,1
398,0,0
399,0,0
400,1,1
401,0,1
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,1,1
408,1,1
409,1,1
410,1,1
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,1,1
420,0,0
421,1,1
422,1,1
423,0,0
424,1,1
425,1,1
426,1,1
427,0,0
428,1,1
429,1,1
430,0,0
431,0,0
432,0,0
433,1,1
434,1,1
435,0,0
436,1,1
437,0,0
438,0,0
439,0,0
440,1,1
441,0,0
442,0,0
443,1,1
444,0,0
445,0,0
446,1,1
447,1,1
448,1,1
449,1,1
450,0,0
451,0,0
452,0,0
453,0,0
454,1,1
455,0,0
456,1,1
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,1,1
463,1,1
464,0,0
465,1,1
466,0,0
467,1,1
468,1,1
469,0,0
470,0,0
471,1,1
472,0,0
473,1,1
474,1,1
475,0,0
476,0,0
477,0,0
478,1,1
479,0,0
480,1,1
481,1,1
482,1,1
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,1,1
490,0,0
491,1,1
492,1,1
493,1,1
494,0,0
495,0,0
496,1,1
497,1,1
498,1,1
499,1,1
500,0,0
501,1,1
502,0,0
503,0,0
504,1,1
505,1,1
506,0,0
507,1,1
508,1,1
509,1,1
510,0,0
511,1,1
512,1,1
513,1,1
514,1,1
515,0,0
516,1,1
517,0,0
518,1,1
519,0,0
520,0,0
521,1,1
522,1,1
523,1,1
524,1,1
525,0,0
526,0,0
527,1,1
528,0,0
529,1,1
530,0,0
531,1,1
532,1,1
533,0,0
534,1,1
535,0,0
536,1,1
537,1,1
538,0,0
539,1,1
540,1,1
541,1,1
542,0,0
543,1,1
544,1,1
545,1,1
546,1,1
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,1,1
557,1,1
558,1,1
559,0,0
560,0,0
561,1,1
562,1,1
563,1,1
564,1,1
565,0,0
566,1,1
567,1,1
568,1,1
569,1,1
570,0,0
571,0,0
572,0,0
573,1,1
574,0,0
575,1,1
576,0,0
577,1,1
578,0,0
579,0,0
580,0,0
581,1,1
582,1,1
583,0,0
584,1,1
585,0,0
586,0,1
587,1,1
588,0,0
589,1,1
590,0,0
591,1,1
592,1,1
593,1,1
594,1,1
595,0,0
596,0,0
597,0,0
598,0,0
599,1,1
600,0,0
601,1,1
602,0,0
603,0,0
604,1,1
605,1,1
606,0,0
607,1,1
608,1,1
609,1,1
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,1,1
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,1,1
623,0,0
624,0,0
625,1,1
626,0,0
627,1,1
628,1,1
629,1,1
630,1,1
631,0,1
632,0,0
